"re : 6 . 1",-486.98,-503.21,S
"the other ",-183.01,-198.01,S
"re : equis",-439.25,-468.15,S
"Hello I am",-286.09,-262.34,P
"software a",-474.29,-468.41,P
"global ris",-1625.66,-1773.98,S
"On Sun, Au",-381.55,-394.66,S
"entourage ",-4466.11,-4093.54,P
"we owe you",-325.58,-310.04,P
"re : coast",-802.01,-871.78,S
"make her b",-868.05,-797.41,P
"URL: http:",-0.5,-0.93,S
"begin forw",-3058.98,-3188.82,S
"re : fyi -",-474.18,-522.5,S
"rmmla / ad",-1349.64,-1473.55,S
"re : testi",-180.11,-188.95,S
"The academ",-140.98,-154.78,S
"re : 3 . 4",-551.26,-634.8,S
"a resume j",-587.23,-615.03,S
"EFFector  ",-3383.47,-3418.52,S
"re : meeti",-378.98,-400.48,S
"formal inv",-124.2,-126.39,S
"Question?D",-321.42,-306.62,P
"URL: http:",-0.5,-0.93,S
"calpine da",-131.16,-147.38,S
"fw : bod a",-318.99,-354.53,S
"start date",-174.47,-203.11,S
"re : tetco",-1307.33,-1437.14,S
"PROMOTE YO",-421.66,-389.08,P
"culture co",-203.04,-231.98,S
"sle 31 cal",-2491.08,-2905.06,S
"",-0.5,-0.93,S
"lowers blo",-547.57,-537.36,P
"release of",-1344.48,-1454.75,S
"mobil beau",-271.88,-300.8,S
"<!--functi",-200.4,-202.55,S
"presentati",-422.35,-460.19,S
"premium ad",-276.03,-249.42,P
"Thanks Bre",-336.46,-399.58,S
"re : 6 . 3",-842.78,-931.51,S
"25 mg tric",-460.03,-424.11,P
"Help wante",-267.44,-243.25,P
"important ",-631.76,-602.27,P
"hpl optimi",-925.27,-963.67,S
"Pity.  Rea",-170.75,-174.89,S
"BUY 2 ADUL",-118.01,-105.6,P
"re : fw : ",-725.48,-815.33,S
"new hire d",-208.3,-224.61,S
"gino , who",-89.04,-84.54,P
"unbelievab",-250.05,-231.59,P
"URL: http:",-50.74,-50.62,P
"discover t",-189.67,-181.1,P
"interview ",-125.96,-142.77,S
"----- Orig",-109.9,-115.94,S
"empty",-8.75,-8.4,P
"chess - en",-171.77,-188.8,S
"free porta",-397.75,-378.44,P
"today ' s ",-146.56,-159.26,S
"urgent mr ",-1368.2,-1275.44,P
"open seaso",-117.36,-128.65,S
"refinancin",-1217.47,-1101.03,P
"your in - ",-201.33,-192.79,P
">>>>> TP =",-1256.24,-1307.26,S
"URL: http:",-252.62,-261.51,S
"closing li",-2287.37,-2530.57,S
"tmda.net/h",-422.67,-449.87,S
"Digital Pu",-498.77,-463.93,P
"hi again a",-261.72,-264.91,S
" workshop ",-972.38,-1107.8,S
"re : hi . ",-108.36,-102.87,P
"organizati",-632.01,-666.91,S
"Looks and ",-1009.93,-1032.02,S
"fw : end o",-942.38,-1023.61,S
"confirmati",-94.66,-101.88,S
"enrononlin",-390.32,-404.78,S
"re : 5 . 1",-1338.21,-1514.14,S
"Are you in",-526.39,-491.77,P
"esther tor",-541.64,-680.88,S
"query : ha",-317.41,-364.48,S
"Now       ",-621.88,-553.0,P
"confidence",-1624.22,-1505.23,P
"current an",-3059.2,-2792.13,P
"re [ 11 ] ",-21.58,-21.97,S
"job : engl",-804.61,-885.09,S
"On Thu, Au",-283.14,-303.75,S
"summer at ",-105.85,-108.01,S
"parking pa",-207.69,-217.94,S
"On 9 Aug 2",-96.92,-109.82,S
"Hi,Does an",-79.23,-84.28,S
"net impact",-432.76,-475.14,S
"on his fac",-217.28,-212.38,P
"On 12 Sep ",-76.87,-88.05,S
"afro - asi",-3295.55,-3705.39,S
"webcam dat",-25.16,-23.1,P
"have the n",-832.38,-817.27,P
"enron / hp",-16.64,-20.14,S
"you ' ve b",-156.79,-148.26,P
"A:link {TE",-1461.05,-1363.5,P
"syntax of ",-530.54,-662.96,S
"bulker cd ",-1067.15,-981.23,P
"the perman",-114.43,-100.44,P
"Some inter",-305.95,-314.71,S
"investment",-738.56,-686.21,P
"increase y",-1136.33,-989.41,P
"new update",-382.1,-368.34,P
"$ $ $ $ $ ",-781.53,-755.61,P
"empty",-8.75,-8.4,P
"inexpensiv",-71.1,-66.52,P
"re : wayne",-1063.32,-1146.46,S
"look 10 ye",-621.27,-593.5,P
"Is there a",-774.36,-832.26,S
"i would li",-392.85,-375.45,P
"albert tre",-183.14,-198.82,S
"On Tue, 20",-454.75,-470.4,S
"Today a Fr",-276.26,-283.02,S
"URL: http:",-34.05,-40.5,S
"does your ",-276.82,-255.26,P
"Dear Compu",-730.47,-682.19,P
"re : txu f",-268.6,-302.07,S
"hpl nom fo",-26.67,-32.32,S
"we offer y",-124.03,-105.78,P
"today ' s ",-692.75,-712.28,S
"enron year",-616.53,-642.55,S
"pluto / me",-2280.46,-2402.08,S
"begin forw",-1324.46,-1388.31,S
"question :",-107.12,-100.81,P
"I wrote:> ",-156.93,-165.45,S
"WE NEED HE",-294.91,-270.53,P
"blue horse",-311.26,-307.84,P
"stuff. See",-4121.29,-4249.11,S
"empty",-8.75,-8.4,P
"will cut t",-726.3,-671.77,P
"Protect yo",-553.62,-504.27,P
"any med fo",-179.03,-159.58,P
"c , ia _ l",-69.98,-69.25,P
"WE NEED HE",-294.91,-270.53,P
"new produc",-434.67,-482.09,S
"H6.29% Fix",-66.26,-63.19,P
"re [ 10 ] ",-36.96,-35.66,P
"pictures s",-324.17,-300.81,P
"fw : ceraw",-1167.79,-1190.86,S
"URL: http:",-66.84,-71.22,S
"hi paliour",-508.45,-444.05,P
"tiger team",-1186.5,-1251.68,S
"URL: http:",-504.0,-521.52,S
"enron actu",-37.32,-43.56,S
"Digital Di",-2188.01,-2222.56,S
"languaging",-837.56,-994.77,S
"home page ",-281.88,-322.88,S
"rabi de sh",-320.26,-355.86,S
"i believe ",-937.35,-1023.44,S
"Elias Sind",-419.04,-434.29,S
"> That has",-144.01,-146.63,S
"SPECIAL AL",-2688.86,-2561.73,P
"conference",-492.67,-621.06,S
"chamito - ",-1447.67,-1778.52,S
"for your i",-319.34,-319.12,P
"book on la",-1274.89,-1445.23,S
"Dear Sir, ",-1116.5,-1040.27,P
"anadarko a",-207.18,-206.65,P
"fwd : gree",-118.15,-106.63,P
"physical c",-299.53,-328.6,S
"hpl nom fo",-19.89,-23.36,S
"negation i",-826.87,-996.77,S
"seeing the",-176.71,-186.22,S
"earth day ",-348.54,-362.48,S
"computatio",-966.43,-1154.66,S
"Beautiful,",-504.5,-484.53,P
"http://www",-1053.03,-1095.77,S
"URL: http:",-49.22,-52.28,S
"fw : eog p",-814.08,-868.88,S
"photoshop ",-266.67,-257.07,P
"Norton AD├",-572.34,-524.64,P
"role descr",-171.99,-192.93,S
"meter 8740",-720.18,-797.71,S
"urgent saf",-819.21,-801.32,P
"Here's a w",-682.04,-709.96,S
"re : thank",-408.23,-420.48,S
"BODY {font",-707.57,-643.25,P
"CENTRAL BA",-1015.25,-969.93,P
"    Paul> ",-177.89,-192.0,S
"alt iii al",-685.25,-785.56,S
"re : texas",-297.18,-329.28,S
"videoconfe",-255.8,-271.85,S
">>From the",-193.55,-193.58,S
"re : curre",-1775.03,-1919.16,S
"syntax / s",-970.84,-1170.36,S
"emily ' s ",-494.24,-497.97,S
"revised - ",-1761.06,-1849.65,S
"Filled wit",-598.57,-608.8,S
"HELLO,I AM",-1098.95,-1018.76,P
"dear websi",-2570.74,-2463.73,P
"new books ",-869.09,-1010.65,S
"Make sure ",-401.81,-429.9,S
"re : waco ",-797.1,-874.9,S
"want to se",-230.68,-213.23,P
"project se",-110.38,-119.48,S
"both male ",-389.49,-351.3,P
"earnings c",-69.87,-73.34,S
"research p",-691.33,-792.94,S
"re : re [ ",-1963.76,-2007.8,S
"new power ",-751.35,-791.12,S
"    >> Bef",-365.84,-381.87,S
"how many  ",-463.85,-414.07,P
"revised ju",-267.26,-298.36,S
"Angles Pug",-82.62,-91.88,S
"URL: http:",-100.5,-98.93,P
"shed inche",-33.43,-34.47,S
"re : 8 : 3",-414.56,-448.02,S
"On Thu, Au",-1166.45,-1244.72,S
"mid - year",-928.02,-1003.23,S
"re : 6 . 2",-90.99,-94.91,S
"texaco 989",-138.3,-159.11,S
"start date",-79.14,-89.95,S
"Long time ",-1246.55,-1165.69,P
"junk mail ",-235.79,-245.6,S
"austronesi",-809.55,-989.38,S
"URL: http:",-81.97,-82.8,S
"convergenc",-447.02,-529.92,S
"you have t",-150.08,-138.1,P
"call : gen",-1487.24,-1670.15,S
"a chance t",-230.41,-213.29,P
"miracle pr",-2977.09,-2749.26,P
"the fastes",-360.33,-335.29,P
">>>>> J ==",-247.83,-268.95,S
"interviewe",-154.3,-162.25,S
"URL: http:",-77.64,-78.89,S
"Done>>>Rob",-502.81,-533.08,S
" Could you",-33.54,-31.74,P
"Forwarded-",-875.33,-864.05,P
"project fi",-848.27,-902.53,S
"theoretica",-481.11,-596.31,S
"This is a ",-1516.0,-1466.84,P
"re : equis",-520.79,-561.04,S
"down . loa",-177.57,-174.17,P
"Would You ",-429.34,-381.19,P
"psycholing",-299.16,-374.2,S
"please rev",-19.03,-19.35,S
"        Fo",-3015.24,-3001.72,P
"5 % guaran",-365.36,-344.06,P
"you can ge",-309.82,-284.48,P
"re : meter",-35.6,-40.06,S
"remember m",-148.6,-138.87,P
"summer int",-286.67,-321.76,S
"empty",-8.75,-8.4,P
"Hunt, Brya",-364.63,-378.63,S
"csseMortga",-323.36,-297.59,P
"dataroom f",-909.64,-960.4,S
"wccfl xiv ",-876.61,-1006.1,S
"schedule c",-691.99,-792.94,S
"award / wi",-1747.02,-1589.28,P
"On Wednesd",-255.63,-272.88,S
"At 1:52 PM",-452.56,-471.72,S
"> Date: Mo",-228.87,-243.67,S
"excel issu",-217.3,-223.79,S
"DetailsWan",-192.36,-167.41,P
"= ? utf - ",-179.74,-159.6,P
"re : ( no ",-61.27,-71.64,S
"by sendmai",-400.97,-377.1,P
"management",-898.37,-937.57,S
"rachael ar",-118.58,-118.04,P
"participat",-61.6,-56.32,P
"tynenol 3 ",-188.73,-163.57,P
"re : eog p",-687.63,-733.75,S
"start date",-79.14,-89.95,S
"submit 600",-503.79,-486.97,P
"get meds s",-156.09,-144.56,P
"re : thu ,",-115.72,-114.2,P
"the greate",-1240.88,-1156.95,P
"Problem wi",-22.1,-23.94,S
"  Do you o",-476.43,-445.85,P
"congratula",-17.47,-19.66,S
"Uh, WWII E",-401.16,-426.97,S
"Something ",-369.94,-353.16,P
"she looks ",-23.77,-19.68,P
"the effect",-292.48,-288.16,P
"Tired of M",-407.3,-388.55,P
"----- Orig",-131.4,-135.41,S
"granada wo",-1915.54,-2259.07,S
"re : saxet",-107.28,-121.22,S
"today ' s ",-473.74,-508.18,S
"http://www",-143.57,-146.91,S
"intrepid i",-3121.82,-2895.59,P
"41 . npe .",-228.13,-220.33,P
"expand you",-204.32,-192.59,P
"caiso noti",-420.9,-435.37,S
"hpl noms -",-39.27,-45.79,S
"the econom",-272.37,-240.29,P
"Free Info!",-416.08,-392.67,P
"evolvable ",-867.16,-949.55,S
"URL: http:",-81.37,-88.82,S
"Hot Tawnee",-315.12,-280.88,P
"corrigendu",-1289.95,-1179.85,P
"DEAR HOMEO",-653.24,-580.61,P
"nels dates",-296.26,-342.41,S
"schedule c",-670.26,-767.58,S
"hil phonol",-639.86,-777.64,S
"creditfixT",-199.54,-187.36,P
"Matt Kettl",-401.39,-438.16,S
"buy your m",-146.11,-147.63,S
"rendez - v",-734.81,-754.21,S
"hiv viruse",-1584.62,-1431.15,P
"young amat",-230.81,-219.43,P
"hi how to ",-294.66,-272.81,P
"sfa licens",-223.18,-235.69,S
"empty",-8.75,-8.4,P
" fork@xent",-100.58,-87.8,P
"perfect lo",-288.3,-250.19,P
"Hi,I belie",-188.68,-192.23,S
"employment",-245.77,-260.54,S
"roud and h",-40.14,-33.75,P
"Gary Lawre",-784.74,-829.65,S
"super vkia",-212.49,-200.63,P
"top paying",-168.22,-153.76,P
"URL: http:",-539.98,-547.15,S
"need phent",-783.63,-725.67,P
"find it he",-88.06,-85.19,P
"fw : free ",-22.31,-21.2,P
"new produc",-353.01,-314.63,P
"clean draf",-93.37,-101.24,S
"bu  y cial",-150.87,-142.71,P
"re : apach",-314.66,-340.08,S
"Today's er",-175.9,-181.68,S
"* * you ha",-2006.54,-1861.62,P
"on cd . . ",-34.11,-32.21,P
"publish li",-737.97,-698.39,P
"- you coul",-34.53,-33.34,P
"Dear Sir o",-406.82,-380.22,P
"maureen ra",-118.3,-128.08,S
"amta works",-3110.6,-3488.41,S
"pill that ",-132.65,-113.59,P
"philippe b",-449.71,-465.92,S
"good idea ",-676.25,-672.33,P
"Urban Boqu",-250.23,-265.78,S
"    I hate",-305.4,-317.78,S
"empty",-8.75,-8.4,P
"cutoff for",-393.91,-415.01,S
"Hallo,Wir ",-122.94,-115.51,P
"You are re",-671.11,-622.76,P
"START A BU",-372.04,-345.38,P
"hot stock ",-4984.83,-4702.06,P
"basic word",-906.65,-1067.36,S
"On Fri, 4 ",-251.74,-280.53,S
"start date",-79.14,-89.95,S
"no loan de",-704.84,-659.54,P
"australia ",-285.37,-313.0,S
"I can't se",-117.53,-120.18,S
"Marc -- Si",-242.92,-271.19,S
"On Tue, 20",-394.09,-427.26,S
"schedule c",-691.99,-792.94,S
"lectureshi",-607.07,-669.09,S
"cons├│rcio",-482.42,-479.16,P
"please pos",-274.67,-280.53,S
"making sen",-1573.96,-1731.78,S
"-----Origi",-60.47,-65.75,S
"prc for en",-58.52,-62.34,S
"seminar : ",-1555.94,-1701.07,S
"http : / /",-396.28,-361.64,P
"new journa",-470.61,-497.92,S
"re : here ",-75.19,-65.21,P
"Dave Long ",-209.9,-226.04,S
"Once upon ",-555.37,-593.77,S
"> Dunno ab",-547.61,-577.81,S
"capital bo",-1268.65,-1318.22,S
"URL: http:",-71.11,-73.03,S
"localized ",-228.09,-205.44,P
"administra",-700.32,-669.13,P
"sum : sign",-5191.28,-5532.09,S
"teach and ",-674.27,-646.09,P
"new invoic",-162.97,-182.05,S
"Not fortea",-963.46,-976.6,S
"invoice up",-390.8,-396.94,S
"agree with",-3812.91,-3906.65,S
"I have bee",-220.59,-228.3,S
"fw : dirty",-840.9,-818.56,P
"your speci",-319.6,-311.5,P
"Below is t",-88.8,-83.23,P
"semantics ",-201.95,-245.27,S
"empty",-8.75,-8.4,P
"**********",-9898.81,-8918.88,P
"ardmore fa",-577.39,-624.31,S
"More Than ",-289.73,-264.32,P
"the worlds",-1115.37,-1032.94,P
"toshiba ma",-2306.13,-2163.34,P
"re : 5 . 1",-1065.57,-1196.06,S
"empty",-8.75,-8.4,P
"modern gre",-150.29,-172.44,S
"",-0.5,-0.93,S
"re : painf",-250.33,-235.84,P
"competitiv",-1360.66,-1385.13,S
"localized ",-220.83,-203.62,P
"empty",-8.75,-8.4,P
"re : summa",-2250.25,-2370.38,S
"computer a",-569.25,-654.94,S
"replica ha",-43.25,-35.41,P
"DEAR SIR/M",-1488.34,-1407.69,P
"wouldn ' t",-2200.77,-1937.6,P
"originatio",-691.86,-790.14,S
"BTW:  I re",-153.67,-159.84,S
"Matthew Fr",-456.43,-489.64,S
"Big and bi",-83.31,-72.75,P
"To be remo",-405.49,-377.88,P
"t shirts v",-462.5,-459.33,P
"Adam L. Be",-195.11,-190.16,P
"re [ 13 ] ",-47.83,-49.14,S
"Shopping f",-318.13,-272.55,P
"I find Gno",-948.93,-1020.09,S
