Número de documentos (noticias) del corpus: 5909
Número de palabras del corpus: 507648
Palabra:aa Frec:26 LogProb:-9.898454537768973
Palabra:aal Frec:2 LogProb:-12.095679115105193
Palabra:aba Frec:5 LogProb:-11.402531934545248
Palabra:aback Frec:4 LogProb:-11.584853491339203
Palabra:abacus Frec:3 LogProb:-11.807997042653412
Palabra:abalone Frec:4 LogProb:-11.584853491339203
Palabra:abandon Frec:7 LogProb:-11.114849862093466
Palabra:abandoned Frec:17 LogProb:-10.303919645877139
Palabra:abandonment Frec:0 LogProb:-13.194291403773303
Palabra:abase Frec:1 LogProb:-12.501144223213357
Palabra:abash Frec:2 LogProb:-12.095679115105193
Palabra:abashed Frec:1 LogProb:-12.501144223213357
Palabra:abate Frec:3 LogProb:-11.807997042653412
Palabra:abatement Frec:3 LogProb:-11.807997042653412
Palabra:abater Frec:1 LogProb:-12.501144223213357
Palabra:abb Frec:1 LogProb:-12.501144223213357
Palabra:abbas Frec:1 LogProb:-12.501144223213357
Palabra:abbey Frec:4 LogProb:-11.584853491339203
Palabra:abbot Frec:1 LogProb:-12.501144223213357
Palabra:abbreviate Frec:1 LogProb:-12.501144223213357
Palabra:abbreviation Frec:2 LogProb:-12.095679115105193
Palabra:abdicate Frec:1 LogProb:-12.501144223213357
Palabra:abdomen Frec:3 LogProb:-11.807997042653412
Palabra:abdominal Frec:14 LogProb:-10.486241202671092
Palabra:abduct Frec:3 LogProb:-11.807997042653412
Palabra:abduction Frec:0 LogProb:-13.194291403773303
Palabra:abed Frec:4 LogProb:-11.584853491339203
Palabra:aberrant Frec:1 LogProb:-12.501144223213357
Palabra:aberrate Frec:4 LogProb:-11.584853491339203
Palabra:aberration Frec:0 LogProb:-13.194291403773303
Palabra:aberrational Frec:3 LogProb:-11.807997042653412
Palabra:abet Frec:5 LogProb:-11.402531934545248
Palabra:abeyance Frec:2 LogProb:-12.095679115105193
Palabra:abeyant Frec:2 LogProb:-12.095679115105193
Palabra:abhorrent Frec:4 LogProb:-11.584853491339203
Palabra:abide Frec:5 LogProb:-11.402531934545248
Palabra:abiding Frec:0 LogProb:-13.194291403773303
Palabra:abigail Frec:0 LogProb:-13.194291403773303
Palabra:ability Frec:195 LogProb:-7.916176744542786
Palabra:abject Frec:3 LogProb:-11.807997042653412
Palabra:ablation Frec:1 LogProb:-12.501144223213357
Palabra:ablative Frec:1 LogProb:-12.501144223213357
