Número de documentos (noticias) del corpus: 9056
Número de palabras del corpus: 824683
Palabra:aa Frec:78 LogProb:-9.253306496585518
Palabra:aal Frec:5 LogProb:-11.830994879824484
Palabra:aba Frec:3 LogProb:-12.23645998793265
Palabra:abacus Frec:4 LogProb:-12.013316436618439
Palabra:abandon Frec:6 LogProb:-11.676844199997227
Palabra:abandoned Frec:26 LogProb:-10.326917483048211
Palabra:abandonment Frec:6 LogProb:-11.676844199997227
Palabra:abase Frec:1 LogProb:-12.929607168492595
Palabra:abate Frec:1 LogProb:-12.929607168492595
Palabra:abb Frec:15 LogProb:-10.850165626812759
Palabra:abbas Frec:3 LogProb:-12.23645998793265
Palabra:abbey Frec:3 LogProb:-12.23645998793265
Palabra:abbreviation Frec:9 LogProb:-11.320169256058493
Palabra:abdomen Frec:1 LogProb:-12.929607168492595
Palabra:abdominal Frec:1 LogProb:-12.929607168492595
Palabra:abduction Frec:12 LogProb:-11.057804991591002
Palabra:abed Frec:1 LogProb:-12.929607168492595
Palabra:aberrant Frec:3 LogProb:-12.23645998793265
Palabra:aberration Frec:2 LogProb:-12.52414206038443
Palabra:abide Frec:7 LogProb:-11.543312807372704
Palabra:abiding Frec:2 LogProb:-12.52414206038443
Palabra:abigail Frec:5 LogProb:-11.830994879824484
Palabra:ability Frec:290 LogProb:-7.949431081881047
Palabra:abject Frec:7 LogProb:-11.543312807372704
Palabra:ablaut Frec:5 LogProb:-11.830994879824484
Palabra:able Frec:646 LogProb:-7.150408054551639
Palabra:abler Frec:3 LogProb:-12.23645998793265
Palabra:abnormally Frec:2 LogProb:-12.52414206038443
Palabra:aboard Frec:7 LogProb:-11.543312807372704
Palabra:abode Frec:1 LogProb:-12.929607168492595
Palabra:abolition Frec:4 LogProb:-12.013316436618439
Palabra:aboriginal Frec:19 LogProb:-10.627022075498548
Palabra:aborigine Frec:1 LogProb:-12.929607168492595
Palabra:abort Frec:1 LogProb:-12.929607168492595
Palabra:aborted Frec:4 LogProb:-12.013316436618439
Palabra:abound Frec:3 LogProb:-12.23645998793265
Palabra:abouts Frec:1 LogProb:-12.929607168492595
Palabra:abox Frec:1 LogProb:-12.929607168492595
Palabra:abreast Frec:3 LogProb:-12.23645998793265
Palabra:abridged Frec:3 LogProb:-12.23645998793265
Palabra:abroad Frec:29 LogProb:-10.221556967390384
Palabra:abrogate Frec:2 LogProb:-12.52414206038443
Palabra:abrook Frec:1 LogProb:-12.929607168492595
Palabra:abruptly Frec:2 LogProb:-12.52414206038443
Palabra:abscissa Frec:1 LogProb:-12.929607168492595
Palabra:absence Frec:70 LogProb:-9.360074472011224
Palabra:absent Frec:10 LogProb:-11.22485907625417
Palabra:absolute Frec:35 LogProb:-10.03923541059643
